Reverse_Volt.V,I(U19CS012.nA)
-7,-0.01905218
-6.9,-0.018075468
-6.8,-0.017099489
-6.7,-0.016124327
-6.6,-0.015150082
-6.5,-0.014176873
-6.4,-0.013204842
-6.3,-0.012234165
-6.2,-0.01126506
-6.1,-0.010297798
-6,-0.009332731
-5.9,-0.008370318
-5.8,-0.007411178
-5.7,-0.006456171
-5.6,-0.005506544
-5.5,-0.004564192
-5.4,-0.003632195
-5.3,-0.002716035
-5.2,-0.001826823
-5.1,-0.000992041
-5,-0.000303352
-4.9,-1.89311E-05
-4.8,-4.15E-07
-4.7,-8.49E-09
-4.6,-1.74E-10
-4.5,-4.03E-12
-4.4,-5.67E-13
-4.3,-4.97E-13
-4.2,-4.95E-13
-4.1,-4.95E-13
-4,-4.95E-13
-3.9,-4.95E-13
-3.8,-4.95E-13
-3.7,-4.95E-13
-3.6,-4.95E-13
-3.5,-4.95E-13
-3.4,-4.95E-13
-3.3,-4.95E-13
-3.2,-4.95E-13
-3.1,-4.95E-13
-3,-4.95E-13
-2.9,-4.95E-13
-2.8,-4.95E-13
-2.7,-4.95E-13
-2.6,-4.95E-13
-2.5,-4.95E-13
-2.4,-4.95E-13
-2.3,-4.95E-13
-2.2,-4.95E-13
-2.1,-4.95E-13
-2,-4.95E-13
-1.9,-4.95E-13
-1.8,-4.95E-13
-1.7,-4.95E-13
-1.6,-4.95E-13
-1.5,-4.95E-13
-1.4,-4.95E-13
-1.3,-4.95E-13
-1.2,-4.95E-13
-1.1,-4.95E-13
-1,-4.95E-13
-0.9,-4.95E-13
-0.8,-4.95E-13
-0.7,-4.95E-13
-0.6,-4.95E-13
-0.5,-4.95E-13
-0.4,-4.95E-13
-0.3,-4.95E-13
-0.2,-4.95E-13
-0.1,-4.75E-13
0,5.05E-13
